fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_S_dioxide,total_S_dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,2.82,0.178,1.14,11,51.2,0.9978,3.51,0.56,2.95,5
7.8,0.88,2.16,1.36,2.14,25,45.1,0.9968,3.2,0.68,7.04,5
7.8,0.76,2.21,3.08,1.02,15,43.7,0.997,3.26,0.65,2.14,5
11.2,0.28,0.745,7.15,1.09,17,48.6,0.998,3.16,0.58,8.64,6
7.4,0.7,1.7,0.294,1.81,11,51.8,0.9978,3.51,0.56,19.2,5
7.4,0.66,2.06,2.48,1.8,13,43.7,0.9978,3.51,0.56,8.5,5
7.9,0.6,0.608,3.32,1.25,15,47.1,0.9964,3.3,0.46,12.7,5
7.3,0.65,0.903,1.46,0.25,15,39.6,0.9946,3.39,0.47,12.7,7
7.8,0.58,1.75,5.59,1.87,9,47.1,0.9968,3.36,0.57,13.8,7
7.5,0.5,2.21,2.86,1.54,17,39.8,0.9978,3.35,0.8,15.5,5
6.7,0.58,0.0203,7.95,1.1,15,40.6,0.9959,3.28,0.54,16.2,5
7.5,0.5,1.55,0.856,1.62,17,40.2,0.9978,3.35,0.8,5.19,5
5.6,0.615,1.3,6.03,1.53,16,51,0.9943,3.58,0.52,11.6,5
7.8,0.61,0.866,3.35,0.499,9,44.9,0.9974,3.26,1.56,11.5,5
8.9,0.62,1.3,0.761,1.83,52,39.9,0.9986,3.16,0.88,9.78,5
8.9,0.62,1.16,3.37,3.03,51,51.7,0.9986,3.17,0.93,2.61,5
8.5,0.28,2.78,2,0.603,35,35.4,0.9969,3.3,0.75,12.3,7
8.1,0.56,2.6,6.64,0.528,16,39,0.9968,3.11,1.28,1.77,5
7.4,0.59,3.53,4.22,1.11,6,50.4,0.9974,3.38,0.5,0.816,4
7.9,0.32,1.14,7.61,4.47,17,45.9,0.9969,3.04,1.08,19.4,6
8.9,0.22,0.244,1.33,1.73,29,45.2,0.9968,3.39,0.53,6.78,6
7.6,0.39,3.27,2.44,0.43,23,48.7,0.9982,3.52,0.65,4.34,5
7.9,0.43,2.09,4.45,0.741,10,48.8,0.9966,3.17,0.91,3.97,5
8.5,0.49,1.02,6.12,0.236,9,52.4,0.9968,3.17,0.53,20.3,5
6.9,0.4,1.2,0.421,0.492,21,47.1,0.9968,3.43,0.63,7.46,6
6.3,0.39,2.55,9.18,4.51,11,46.6,0.9955,3.34,0.56,4.69,5
7.6,0.41,2.23,1.74,4.06,4,43.2,0.9962,3.28,0.59,18.1,5
7.9,0.43,1.25,0.432,1.36,10,39.9,0.9966,3.17,0.91,17.6,5
7.1,0.71,4.29,6.27,0.104,14,55,0.9972,3.47,0.55,9.02,5
7.8,0.645,1.11,9.73,2.93,8,43.5,0.9964,3.38,0.59,8.52,6
6.7,0.675,2.45,6.89,0.654,17,39.5,0.9958,3.35,0.54,23,5
